ID;Stress;Resolucao;UF;Cidade;Origem_reclamacao;Data_reclamacao;Data_primeira_interacao;Problemas;Nota;Retorno_negocio;Quantidade_interacoes;Data_criacao_ultima_interacao;tempo_espera_primeira;tempo_total_atendimento;dia_semana_reclamacao;dia_semana_primeira_interacao;dia_semana_ultima_interacao;ano_reclamacao;ano_primeira_interacao;ano_ultima_interacao;dia_reclamacao;dia_primeira_interacao;dia_ultima_interacao;mes_reclamacao;mes_primeira_interacao;mes_ultima_interacao;hora_reclamacao;hora_primeira_interacao;hora_ultima_interacao;min_reclamacao;min_primeira_interacao;min_ultima_interacao;grupo_notas
92285839;58,37621278;1;4;15;1;2019-06-10 14:05:36;2019-06-11 15:15:06;42;6;1;2;2019-07-01 02:02:09;1509,5;29516,55;0;1;0;2019;2019;2019;10;11;1;6;6;7;14;15;2;5;15;2;0
92286825;68,59104206;1;8;9;2;2019-06-10 14:26:43;2019-06-11 12:42:31;21;10;1;2;2019-06-24 17:36:46;1335,8;20350,05;0;1;0;2019;2019;2019;10;11;24;6;6;6;14;12;17;26;42;36;2
92240307;55,69141727;0;15;99;2;2019-06-07 23:18:16;2019-06-11 09:51:49;20;2;0;2;2019-06-28 09:39:01;4953,55;29420,75;4;1;4;2019;2019;2019;7;11;28;6;6;6;23;9;9;18;51;39;0
92288845;62,56927802;0;20;36;1;2019-06-10 15:12:11;2019-06-12 17:43:19;45;0;0;2;2019-06-17 13:27:03;3031,133333333333;9974,866666666667;0;2;0;2019;2019;2019;10;12;17;6;6;6;15;17;13;12;43;27;0
92287641;49,14105267;1;20;23;2;2019-06-10 14:43:53;2019-06-11 17:29:54;30;6;1;2;2019-06-28 09:09:25;1606,0166666666667;25585,533333333333;0;1;4;2019;2019;2019;10;11;28;6;6;6;14;17;9;43;29;9;0
92244641;60,00236094;1;5;173;1;2019-06-08 10:38:03;2019-06-10 16:28:51;24;0;0;2;2019-06-18 09:47:13;3230,8;14349,166666666666;5;0;1;2019;2019;2019;8;10;18;6;6;6;10;16;9;38;28;47;0
92340215;60,14464916;1;13;102;1;2019-06-11 22:48:23;2019-06-12 12:15:31;17;4;1;3;2019-07-01 13:36:43;807,1333333333333;28248,333333333332;1;2;0;2019;2019;2019;11;12;1;6;6;7;22;12;13;48;15;36;0
92398562;60,88881141;1;8;96;0;2019-06-13 17:24:53;2019-06-14 12:53:31;32;10;1;2;2019-06-14 12:55:27;1168,6333333333334;1170,5666666666666;3;4;4;2019;2019;2019;13;14;14;6;6;6;17;12;12;24;53;55;2
92419781;57,20693284;1;8;128;1;2019-06-14 12:02:06;2019-06-26 11:39:03;0;10;1;3;2019-06-27 09:30:28;17256,95;18568,366666666665;4;2;3;2019;2019;2019;14;26;27;6;6;6;12;11;9;2;39;30;2
92400037;55,423477399999996;1;5;32;1;2019-06-13 18:11:36;2019-06-14 13:13:51;16;10;1;2;2019-06-21 10:08:24;1142,25;11036,8;3;4;4;2019;2019;2019;13;14;21;6;6;6;18;13;10;11;13;8;2
